batch_id,bytes_offset
0,0
1,3158
2,6161
3,9062
4,11961
5,14942
6,17846
7,20699
8,23730
9,26257
10,28736
11,31107
12,33387
13,35653
14,37939
15,40174
16,42443
17,45229
18,47912
19,50782
20,54253
21,58046
22,62020
23,65759
24,69690
25,73373
26,77336
27,81152
28,84413
29,88185
30,92202
31,96050
32,99958
33,104269
34,108108
35,111851
36,115131
37,118459
38,121990
39,125055
40,128059
41,131127
42,134185
43,137221
44,140056
45,142764
46,146035
47,149101
48,152403
49,155504
50,158354
51,161298
52,164531
53,167046
54,169528
55,172010
56,174714
57,177940
58,181070
59,184509
60,187807
61,191199
62,194430
63,197569
64,200991
65,204634
66,208043
67,210941
68,213858
69,216878
70,219986
71,223010
72,226256
73,229516
74,232659
75,235974
76,239004
77,242220
78,245446
79,248519
80,252062
81,255434
82,258594
83,261917
84,265220
85,268809
86,272381
87,275838
88,279212
89,282581
90,285727
91,289235
92,292519
93,295939
94,299537
95,303036
96,306494
97,310034
98,313293
99,316451
100,319742
101,322878
102,325916
103,329221
104,332826
105,335904
106,339345
107,342761
108,346022
109,349109
110,352881
111,356891
112,360717
113,363967
114,367051
115,370274
116,373259
117,376853
118,380770
119,383827
120,386823
121,389575
122,392451
123,395937
124,399522
125,402830
126,406696
127,410705
128,414798
129,418779
130,423003
131,427310
132,431561
133,435807
134,440095
135,444539
136,448962
137,453380
138,457383
139,461080
140,464451
141,467758
142,471553
143,474457
144,477931
145,481835
146,486184
147,489232
148,492212
149,495103
150,498611
151,501983
152,505235
153,509090
154,512668
155,515870
156,519350
157,522642
158,525702
159,528758
160,531879
161,534811
162,537807
163,540869
164,544171
165,547456
166,550939
167,554406
168,557857
169,560927
170,564322
171,567768
172,570835
173,573972
174,577046
175,580385
176,583685
177,586992
178,590659
179,593962
180,597209
181,600417
182,603732
183,607131
184,610437
185,613606
186,616587
187,619522
188,623095
189,626289
190,630091
191,633811
192,637231
193,640531
194,643518
195,646570
196,649701
197,652827
198,656242
199,659655
200,663023
201,667399
202,672000
203,675496
204,679046
205,682792
206,686027
207,689199
208,692376
209,695283
210,698305
211,701571
212,704687
213,708874
214,712186
215,715467
216,718497
217,721610
218,724967
219,728103
220,731954
221,735152
222,738464
223,741855
224,744922
225,747967
226,751206
227,754398
228,757405
229,760586
230,764003
231,767309
232,770557
233,773795
234,776840
235,779598
236,782988
237,786262
238,789691
239,793229
240,796177
241,799019
242,802072
243,804972
244,807966
245,811040
246,814121
247,817318
248,820330
249,823485
250,826794
251,829875
252,833302
253,836570
254,839632
255,842764
256,845747
257,848852
258,851774
259,854756
260,857805
261,861115
262,864296
263,868040
264,871769
265,874528
266,877523
267,880611
268,884136
269,887397
270,890842
271,894672
272,897996
273,901129
274,904313
275,907848
276,910843
277,913871
278,916907
279,920166
280,923618
281,927135
282,930254
283,933275
284,936439
285,939675
286,942760
287,946167
288,949640
289,952557
290,955854
291,958940
292,962110
293,965198
294,968128
295,970944
296,973991
297,977182
298,980363
299,983476
300,986613
301,989673
302,992678
303,995819
304,998584
305,1001626
306,1004476
307,1007468
308,1011931
309,1015141
310,1018096
311,1021053
312,1024231
313,1027170
314,1030429
315,1033319
316,1036389
317,1039670
318,1042546
319,1045404
320,1048218
321,1050956
322,1054281
323,1057271
324,1060131
325,1063418
326,1066397
327,1069910
328,1073210
329,1075920
330,1078636
331,1081419
332,1084374
333,1087417
334,1090417
335,1093328
336,1095851
337,1098715
338,1101322
339,1103352
340,1106457
341,1110280
342,1114140
343,1118152
344,1121952
345,1125911
346,1129632
347,1133130
348,1137680
349,1141642
350,1145499
351,1149078
352,1153295
353,1157092
354,1161033
355,1164913
356,1168962
357,1172639
358,1175705
359,1179033
360,1182030
361,1185094
362,1187931
363,1190599
364,1193375
365,1196497
366,1199759
367,1202940
368,1206141
369,1209411
370,1212573
371,1215520
372,1218469
373,1221594
374,1224913
375,1228029
376,1231115
377,1234349
378,1237389
379,1240365
380,1243485
381,1246835
382,1250844
383,1254466
384,1258051
385,1261704
386,1265164
387,1269488
388,1272665
389,1275785
390,1278857
391,1281951
392,1284967
393,1288027
394,1291713
395,1295071
396,1298404
397,1302152
398,1306277
399,1309632
400,1312986
401,1316602
402,1319905
403,1323499
404,1327156
405,1330890
406,1334260
407,1337555
408,1341257
409,1344530
410,1348434
411,1351824
412,1355006
413,1358331
414,1361951
415,1365286
416,1368911
417,1372884
418,1376766
419,1380594
420,1384530
421,1387858
422,1391533
423,1395333
424,1398624
425,1402678
426,1406496
427,1409867
428,1412914
429,1415926
430,1419178
431,1422918
432,1426430
433,1429934
434,1433388
435,1437392
436,1441339
437,1444736
438,1448086
439,1451667
440,1455250
441,1458700
442,1462067
443,1465774
444,1469847
445,1473130
446,1476665
447,1480326
448,1485090
449,1488998
450,1492917
451,1496937
452,1500712
453,1504811
454,1509018
455,1512895
456,1516889
457,1520993
458,1524954
459,1528961
460,1532899
461,1536797
462,1540968
463,1544951
464,1549007
465,1552395
466,1556091
467,1559954
468,1563560
469,1567607
470,1571456
471,1575821
472,1579840
473,1583559
474,1587121
475,1590901
476,1595277
477,1600232
478,1604414
479,1608555
480,1612930
481,1616780
